Périmètre;Nature;Date;Heures;Consommation
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;00:00;8374
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;00:30;8234
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;01:00;7949
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;01:30;7939
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;02:00;7924
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;02:30;7954
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;03:00;7789
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;03:30;7731
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;04:00;7566
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;04:30;7502
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;05:00;7414
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;05:30;7493
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;06:00;7429
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;06:30;7354
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;07:00;7313
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;07:30;7234
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;08:00;7263
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;08:30;7150
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;09:00;7231
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;09:30;7401
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;10:00;7470
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;10:30;7570
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;11:00;7651
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;11:30;7836
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;12:00;7973
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;12:30;8131
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;13:00;8348
Auvergne-Rhône-Alpes;Données définitives;01/01/2018;13:30;8262
