Périmètre;Nature;Date;Heures;Consommation
Ile-de-France;Données définitives;01/01/2020;00:00;10587
Ile-de-France;Données définitives;01/01/2020;00:30;10451
Ile-de-France;Données définitives;01/01/2020;01:00;10137
Ile-de-France;Données définitives;01/01/2020;01:30;9897
Ile-de-France;Données définitives;01/01/2020;02:00;9704
Ile-de-France;Données définitives;01/01/2020;02:30;9634
Ile-de-France;Données définitives;01/01/2020;03:00;9443
Ile-de-France;Données définitives;01/01/2020;03:30;9261
Ile-de-France;Données définitives;01/01/2020;04:00;9114
Ile-de-France;Données définitives;01/01/2020;04:30;9053
Ile-de-France;Données définitives;01/01/2020;05:00;8980
Ile-de-France;Données définitives;01/01/2020;05:30;9035
Ile-de-France;Données définitives;01/01/2020;06:00;8976
Ile-de-France;Données définitives;01/01/2020;06:30;9021
Ile-de-France;Données définitives;01/01/2020;07:00;9010
Ile-de-France;Données définitives;01/01/2020;07:30;9096
Ile-de-France;Données définitives;01/01/2020;08:00;9133
Ile-de-France;Données définitives;01/01/2020;08:30;9192
Ile-de-France;Données définitives;01/01/2020;09:00;9120
Ile-de-France;Données définitives;01/01/2020;09:30;9257
Ile-de-France;Données définitives;01/01/2020;10:00;9433
Ile-de-France;Données définitives;01/01/2020;10:30;9601
Ile-de-France;Données définitives;01/01/2020;11:00;9807
Ile-de-France;Données définitives;01/01/2020;11:30;10027
Ile-de-France;Données définitives;01/01/2020;12:00;10253
Ile-de-France;Données définitives;01/01/2020;12:30;10439
Ile-de-France;Données définitives;01/01/2020;13:00;10516
Ile-de-France;Données définitives;01/01/2020;13:30;10476
Ile-de-France;Données définitives;01/01/2020;14:00;10402
Ile-de-France;Données définitives;01/01/2020;14:30;10460
Ile-de-France;Données définitives;01/01/2020;15:00;10300
Ile-de-France;Données définitives;01/01/2020;15:30;10189
Ile-de-France;Données définitives;01/01/2020;16:00;10178
Ile-de-France;Données définitives;01/01/2020;16:30;10148
Ile-de-France;Données définitives;01/01/2020;17:00;10249
Ile-de-France;Données définitives;01/01/2020;17:30;10596
Ile-de-France;Données définitives;01/01/2020;18:00;10683
Ile-de-France;Données définitives;01/01/2020;18:30;10757
Ile-de-France;Données définitives;01/01/2020;19:00;10888
Ile-de-France;Données définitives;01/01/2020;19:30;10934
Ile-de-France;Données définitives;01/01/2020;20:00;10897
Ile-de-France;Données définitives;01/01/2020;20:30;10674
Ile-de-France;Données définitives;01/01/2020;21:00;10483
Ile-de-France;Données définitives;01/01/2020;21:30;10188
Ile-de-France;Données définitives;01/01/2020;22:00;9942
Ile-de-France;Données définitives;01/01/2020;22:30;10034
Ile-de-France;Données définitives;01/01/2020;23:00;10482
Ile-de-France;Données définitives;01/01/2020;23:30;10189
Ile-de-France;Données définitives;02/01/2020;00:00;9896
Ile-de-France;Données définitives;02/01/2020;00:30;9670
Ile-de-France;Données définitives;02/01/2020;01:00;9263
Ile-de-France;Données définitives;02/01/2020;01:30;8903
Ile-de-France;Données définitives;02/01/2020;02:00;8679
Ile-de-France;Données définitives;02/01/2020;02:30;8615
Ile-de-France;Données définitives;02/01/2020;03:00;8391
Ile-de-France;Données définitives;02/01/2020;03:30;8261
Ile-de-France;Données définitives;02/01/2020;04:00;8150
Ile-de-France;Données définitives;02/01/2020;04:30;8169
Ile-de-France;Données définitives;02/01/2020;05:00;8194
Ile-de-France;Données définitives;02/01/2020;05:30;8428
Ile-de-France;Données définitives;02/01/2020;06:00;8603
Ile-de-France;Données définitives;02/01/2020;06:30;9012
Ile-de-France;Données définitives;02/01/2020;07:00;9299
Ile-de-France;Données définitives;02/01/2020;07:30;9774
Ile-de-France;Données définitives;02/01/2020;08:00;10214
Ile-de-France;Données définitives;02/01/2020;08:30;10482
Ile-de-France;Données définitives;02/01/2020;09:00;10545
Ile-de-France;Données définitives;02/01/2020;09:30;10743
Ile-de-France;Données définitives;02/01/2020;10:00;10857
Ile-de-France;Données définitives;02/01/2020;10:30;11001
Ile-de-France;Données définitives;02/01/2020;11:00;11103
Ile-de-France;Données définitives;02/01/2020;11:30;11146
