Périmètre;Nature;Date;Heures;Consommation
Occitanie;Données définitives;01/01/2020;00:00;5524
Occitanie;Données définitives;01/01/2020;00:30;5387
Occitanie;Données définitives;01/01/2020;01:00;5140
Occitanie;Données définitives;01/01/2020;01:30;5095
Occitanie;Données définitives;01/01/2020;02:00;5060
Occitanie;Données définitives;01/01/2020;02:30;4993
Occitanie;Données définitives;01/01/2020;03:00;4902
Occitanie;Données définitives;01/01/2020;03:30;4758
Occitanie;Données définitives;01/01/2020;04:00;4646
Occitanie;Données définitives;01/01/2020;04:30;4531
Occitanie;Données définitives;01/01/2020;05:00;4447
Occitanie;Données définitives;01/01/2020;05:30;4442
Occitanie;Données définitives;01/01/2020;06:00;4443
Occitanie;Données définitives;01/01/2020;06:30;4527
Occitanie;Données définitives;01/01/2020;07:00;4527
Occitanie;Données définitives;01/01/2020;07:30;4544
Occitanie;Données définitives;01/01/2020;08:00;4529
Occitanie;Données définitives;01/01/2020;08:30;4485
Occitanie;Données définitives;01/01/2020;09:00;4529
Occitanie;Données définitives;01/01/2020;09:30;4611
Occitanie;Données définitives;01/01/2020;10:00;4692
Occitanie;Données définitives;01/01/2020;10:30;4745
Occitanie;Données définitives;01/01/2020;11:00;4762
Occitanie;Données définitives;01/01/2020;11:30;4827
Occitanie;Données définitives;01/01/2020;12:00;4857
Occitanie;Données définitives;01/01/2020;12:30;4938
Occitanie;Données définitives;01/01/2020;13:00;5018
Occitanie;Données définitives;01/01/2020;13:30;4854
Occitanie;Données définitives;01/01/2020;14:00;4745
Occitanie;Données définitives;01/01/2020;14:30;4574
Occitanie;Données définitives;01/01/2020;15:00;4493
Occitanie;Données définitives;01/01/2020;15:30;4457
Occitanie;Données définitives;01/01/2020;16:00;4394
Occitanie;Données définitives;01/01/2020;16:30;4418
Occitanie;Données définitives;01/01/2020;17:00;4486
Occitanie;Données définitives;01/01/2020;17:30;4697
Occitanie;Données définitives;01/01/2020;18:00;5019
Occitanie;Données définitives;01/01/2020;18:30;5184
Occitanie;Données définitives;01/01/2020;19:00;5278
