PÈrimËtre;Nature;Date;Heures;Consommation;Thermique;NuclÈaire;Eolien;Solaire;Hydraulique;Pompage;BioÈnergies;Ech. physiques
PACA;DonnÈes dÈfinitives;01/01/2018;00:00;6067;181;-;3;0;752;0;123;5009
PACA;DonnÈes dÈfinitives;01/01/2018;00:30;5806;175;-;14;0;1043;-51;110;4517
PACA;DonnÈes dÈfinitives;01/01/2018;01:00;5598;175;-;16;0;1094;-51;111;4253
PACA;DonnÈes dÈfinitives;01/01/2018;01:30;5647;175;-;21;0;1114;-51;110;4278
PACA;DonnÈes dÈfinitives;01/01/2018;02:00;5528;175;-;33;0;1170;-51;108;4094
PACA;DonnÈes dÈfinitives;01/01/2018;02:30;5660;175;-;27;0;1150;-51;109;4252
PACA;DonnÈes dÈfinitives;01/01/2018;03:00;5358;175;-;25;0;1004;-51;110;4096
PACA;DonnÈes dÈfinitives;01/01/2018;03:30;5227;175;-;23;0;780;-51;109;4191
PACA;DonnÈes dÈfinitives;01/01/2018;04:00;5052;174;-;26;0;559;-51;109;4236
PACA;DonnÈes dÈfinitives;01/01/2018;04:30;4969;174;-;25;0;541;-51;110;4170
PACA;DonnÈes dÈfinitives;01/01/2018;05:00;4889;173;-;24;0;496;-51;109;4138
PACA;DonnÈes dÈfinitives;01/01/2018;05:30;4845;155;-;19;0;496;-51;108;4119
PACA;DonnÈes dÈfinitives;01/01/2018;06:00;4810;155;-;21;0;496;-51;107;4083
PACA;DonnÈes dÈfinitives;01/01/2018;06:30;4817;155;-;18;0;500;-51;108;4087
PACA;DonnÈes dÈfinitives;01/01/2018;07:00;4831;167;-;16;0;512;-51;109;4079
PACA;DonnÈes dÈfinitives;01/01/2018;07:30;4773;167;-;16;0;570;-51;109;3962
PACA;DonnÈes dÈfinitives;01/01/2018;08:00;4781;192;-;8;0;618;-51;108;3907
PACA;DonnÈes dÈfinitives;01/01/2018;08:30;4758;196;-;23;5;814;-51;109;3663
PACA;DonnÈes dÈfinitives;01/01/2018;09:00;4831;196;-;31;53;865;-51;109;3628
PACA;DonnÈes dÈfinitives;01/01/2018;09:30;4904;196;-;25;145;858;-51;109;3622
PACA;DonnÈes dÈfinitives;01/01/2018;10:00;4926;196;-;24;243;859;-51;109;3548
PACA;DonnÈes dÈfinitives;01/01/2018;10:30;4975;196;-;17;325;740;-51;109;3640
PACA;DonnÈes dÈfinitives;01/01/2018;11:00;5028;196;-;12;427;673;-51;106;3666
PACA;DonnÈes dÈfinitives;01/01/2018;11:30;5097;196;-;9;499;668;-51;108;3669
PACA;DonnÈes dÈfinitives;01/01/2018;12:00;5170;195;-;5;502;689;0;111;3669
PACA;DonnÈes dÈfinitives;01/01/2018;12:30;5271;194;-;1;512;782;0;109;3674
PACA;DonnÈes dÈfinitives;01/01/2018;13:00;5212;195;-;1;529;735;0;109;3643
PACA;DonnÈes dÈfinitives;01/01/2018;13:30;5277;195;-;12;481;766;0;109;3713
PACA;DonnÈes dÈfinitives;01/01/2018;14:00;5136;193;-;9;443;812;0;109;3570
PACA;DonnÈes dÈfinitives;01/01/2018;14:30;5147;193;-;8;404;814;0;110;3619
PACA;DonnÈes dÈfinitives;01/01/2018;15:00;5073;194;-;5;281;829;0;108;3655
PACA;DonnÈes dÈfinitives;01/01/2018;15:30;5033;194;-;5;165;816;0;109;3743
PACA;DonnÈes dÈfinitives;01/01/2018;16:00;4985;194;-;5;55;834;0;109;3788
PACA;DonnÈes dÈfinitives;01/01/2018;16:30;4978;194;-;5;14;909;0;111;3745
PACA;DonnÈes dÈfinitives;01/01/2018;17:00;5102;195;-;4;1;841;0;109;3953
PACA;DonnÈes dÈfinitives;01/01/2018;17:30;5384;196;-;10;0;796;0;109;4272
PACA;DonnÈes dÈfinitives;01/01/2018;18:00;5581;196;-;8;0;796;0;110;4471
PACA;DonnÈes dÈfinitives;01/01/2018;18:30;5690;196;-;29;0;793;0;109;4564
PACA;DonnÈes dÈfinitives;01/01/2018;19:00;5835;197;-;21;0;863;0;109;4645
PACA;DonnÈes dÈfinitives;01/01/2018;19:30;5873;196;-;20;0;1025;0;110;4522
PACA;DonnÈes dÈfinitives;01/01/2018;20:00;5846;196;-;19;0;1070;0;111;4450
PACA;DonnÈes dÈfinitives;01/01/2018;20:30;5776;196;-;21;0;967;0;111;4481
PACA;DonnÈes dÈfinitives;01/01/2018;21:00;5669;195;-;18;0;910;0;109;4436
PACA;DonnÈes dÈfinitives;01/01/2018;21:30;5486;195;-;21;0;879;0;111;4280
PACA;DonnÈes dÈfinitives;01/01/2018;22:00;5399;196;-;20;0;875;0;111;4198
PACA;DonnÈes dÈfinitives;01/01/2018;22:30;5458;196;-;18;0;941;0;111;4192
PACA;DonnÈes dÈfinitives;01/01/2018;23:00;5555;195;-;15;0;983;0;109;4252
PACA;DonnÈes dÈfinitives;01/01/2018;23:30;6156;196;-;17;0;924;0;108;4910
PACA;DonnÈes dÈfinitives;02/01/2018;00:00;5850;195;-;11;0;807;0;108;4728
PACA;DonnÈes dÈfinitives;02/01/2018;00:30;5581;196;-;12;0;615;0;107;4652
PACA;DonnÈes dÈfinitives;02/01/2018;01:00;5333;196;-;11;0;551;0;106;4470
PACA;DonnÈes dÈfinitives;02/01/2018;01:30;5377;195;-;10;0;515;0;108;4548
PACA;DonnÈes dÈfinitives;02/01/2018;02:00;5288;196;-;8;0;503;0;108;4474
PACA;DonnÈes dÈfinitives;02/01/2018;02:30;5432;196;-;12;0;518;0;107;4599
PACA;DonnÈes dÈfinitives;02/01/2018;03:00;5173;196;-;6;0;573;0;107;4290
PACA;DonnÈes dÈfinitives;02/01/2018;03:30;5061;195;-;8;0;573;0;109;4176
PACA;DonnÈes dÈfinitives;02/01/2018;04:00;4973;195;-;14;0;561;0;106;4097
PACA;DonnÈes dÈfinitives;02/01/2018;04:30;4933;195;-;17;0;558;0;108;4055
PACA;DonnÈes dÈfinitives;02/01/2018;05:00;4956;195;-;14;0;501;0;110;4136
PACA;DonnÈes dÈfinitives;02/01/2018;05:30;5037;196;-;21;0;500;0;106;4214
PACA;DonnÈes dÈfinitives;02/01/2018;06:00;5089;195;-;16;0;499;0;108;4271
PACA;DonnÈes dÈfinitives;02/01/2018;06:30;5272;196;-;20;0;502;0;108;4446
PACA;DonnÈes dÈfinitives;02/01/2018;07:00;5424;195;-;24;0;542;0;108;4555
PACA;DonnÈes dÈfinitives;02/01/2018;07:30;5468;195;-;20;0;707;0;109;4438
PACA;DonnÈes dÈfinitives;02/01/2018;08:00;5585;194;-;18;0;765;0;107;4501
PACA;DonnÈes dÈfinitives;02/01/2018;08:30;5660;198;-;14;6;865;0;108;4469
PACA;DonnÈes dÈfinitives;02/01/2018;09:00;5730;186;-;8;63;881;0;108;4483
PACA;DonnÈes dÈfinitives;02/01/2018;09:30;5799;184;-;10;158;959;0;107;4382
PACA;DonnÈes dÈfinitives;02/01/2018;10:00;5824;185;-;6;244;989;0;109;4292
PACA;DonnÈes dÈfinitives;02/01/2018;10:30;5821;182;-;2;339;1004;0;107;4187
PACA;DonnÈes dÈfinitives;02/01/2018;11:00;5815;185;-;3;361;1002;0;108;4157
PACA;DonnÈes dÈfinitives;02/01/2018;11:30;5839;186;-;3;404;992;0;81;4173
PACA;DonnÈes dÈfinitives;02/01/2018;12:00;5925;190;-;4;451;989;0;110;4181
PACA;DonnÈes dÈfinitives;02/01/2018;12:30;6001;188;-;4;429;973;0;107;4300
PACA;DonnÈes dÈfinitives;02/01/2018;13:00;5859;189;-;2;366;914;0;103;4285
PACA;DonnÈes dÈfinitives;02/01/2018;13:30;5969;187;-;2;486;924;0;103;4267
PACA;DonnÈes dÈfinitives;02/01/2018;14:00;5832;186;-;1;464;828;0;103;4250
PACA;DonnÈes dÈfinitives;02/01/2018;14:30;5893;188;-;1;397;812;0;101;4394
PACA;DonnÈes dÈfinitives;02/01/2018;15:00;5737;187;-;1;307;771;0;99;4373
PACA;DonnÈes dÈfinitives;02/01/2018;15:30;5772;183;-;0;171;776;0;102;4541
PACA;DonnÈes dÈfinitives;02/01/2018;16:00;5668;190;-;0;118;789;0;104;4466
PACA;DonnÈes dÈfinitives;02/01/2018;16:30;5601;199;-;0;38;864;0;104;4395
PACA;DonnÈes dÈfinitives;02/01/2018;17:00;5699;211;-;0;8;893;0;103;4483
PACA;DonnÈes dÈfinitives;02/01/2018;17:30;5960;224;-;0;0;910;0;107;4719
PACA;DonnÈes dÈfinitives;02/01/2018;18:00;6145;269;-;0;0;1062;0;109;4705
PACA;DonnÈes dÈfinitives;02/01/2018;18:30;6237;472;-;0;0;1022;0;110;4633
PACA;DonnÈes dÈfinitives;02/01/2018;19:00;6486;367;-;1;0;1071;0;111;4936
PACA;DonnÈes dÈfinitives;02/01/2018;19:30;6394;372;-;1;0;1069;0;110;4842
PACA;DonnÈes dÈfinitives;02/01/2018;20:00;6287;372;-;1;0;939;0;112;4863
PACA;DonnÈes dÈfinitives;02/01/2018;20:30;6199;372;-;1;0;844;0;112;4870
PACA;DonnÈes dÈfinitives;02/01/2018;21:00;5970;372;-;1;0;710;0;111;4776
PACA;DonnÈes dÈfinitives;02/01/2018;21:30;5778;372;-;1;0;654;0;111;4640
PACA;DonnÈes dÈfinitives;02/01/2018;22:00;5607;373;-;1;0;625;0;110;4499
PACA;DonnÈes dÈfinitives;02/01/2018;22:30;5618;374;-;1;0;548;0;112;4585
PACA;DonnÈes dÈfinitives;02/01/2018;23:00;5740;374;-;1;0;547;0;112;4707
PACA;DonnÈes dÈfinitives;02/01/2018;23:30;6296;375;-;0;0;517;0;111;5293
PACA;DonnÈes dÈfinitives;03/01/2018;00:00;6036;361;-;0;0;515;0;111;5049
PACA;DonnÈes dÈfinitives;03/01/2018;00:30;5796;195;-;0;0;667;-51;111;4874
PACA;DonnÈes dÈfinitives;03/01/2018;01:00;5512;192;-;0;0;626;-51;109;4636
PACA;DonnÈes dÈfinitives;03/01/2018;01:30;5503;192;-;0;0;594;-51;108;4659
PACA;DonnÈes dÈfinitives;03/01/2018;02:00;5407;192;-;0;0;594;-51;111;4561
