PÈrimËtre;Nature;Date;Heures;Consommation;Thermique;NuclÈaire;Eolien;Solaire;Hydraulique;Pompage;BioÈnergies;Ech. physiques;;
PACA;DonnÈes dÈfinitives;01/01/2019;00:00;6259;456;-;25;0;700;-51;112;5017;ND;ND
PACA;DonnÈes dÈfinitives;01/01/2019;00:30;6060;330;-;20;0;675;0;106;4929;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;01:00;5899;138;-;20;0;757;0;105;4880;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;01:30;5885;138;-;18;0;755;0;105;4869;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;02:00;5834;138;-;16;0;707;0;106;4867;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;02:30;5955;141;-;22;0;651;0;106;5035;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;03:00;5705;143;-;20;0;542;0;104;4896;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;03:30;5540;143;-;20;0;447;-51;106;4875;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;04:00;5385;143;-;20;0;447;-51;105;4721;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;04:30;5267;143;-;18;0;405;-51;107;4645;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;05:00;5200;143;-;19;0;376;-51;107;4607;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;05:30;5184;143;-;19;0;374;-51;107;4592;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;06:00;5082;143;-;18;0;426;-51;108;4438;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;06:30;5079;143;-;17;0;442;-51;106;4421;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;07:00;5106;142;-;18;0;441;-51;107;4449;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;07:30;5102;142;-;18;0;408;-51;106;4479;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;08:00;5085;142;-;20;0;454;-51;106;4413;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;08:30;5080;143;-;20;5;516;-51;104;4343;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;09:00;5138;142;-;16;53;552;-51;103;4322;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;09:30;5213;142;-;17;138;566;-51;105;4295;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;10:00;5287;142;-;15;241;568;-51;105;4267;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;10:30;5314;141;-;15;341;591;-51;106;4171;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;11:00;5326;142;-;16;422;579;-51;105;4113;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;11:30;5326;142;-;17;473;663;-51;105;3977;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;12:00;5368;141;-;16;521;672;-50;106;3962;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;12:30;5428;139;-;18;550;673;-50;105;3995;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;13:00;5378;137;-;19;567;611;-51;105;3989;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;13:30;5388;140;-;20;587;494;-51;106;4091;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;14:00;5197;142;-;21;570;427;-51;106;3983;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;14:30;5214;142;-;21;509;408;-50;105;4080;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;15:00;5112;141;-;20;435;410;-50;104;4052;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;15:30;5076;142;-;24;329;414;-50;106;4111;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;16:00;5055;142;-;25;215;410;-50;106;4207;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;16:30;5025;142;-;24;104;436;-50;106;4262;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;17:00;5120;143;-;28;25;516;-50;107;4353;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;17:30;5409;143;-;29;6;646;0;105;4480;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;18:00;5667;143;-;27;3;672;0;106;4716;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;18:30;5818;143;-;29;2;678;0;105;4860;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;19:00;5949;143;-;38;1;782;0;107;4877;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;19:30;6031;143;-;35;0;756;0;107;4990;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;20:00;6023;143;-;44;0;727;0;106;5003;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;20:30;5954;143;-;44;0;819;0;106;4842;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;21:00;5793;144;-;43;0;855;0;107;4644;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;21:30;5643;144;-;44;0;786;0;104;4566;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;22:00;5595;142;-;40;0;770;0;105;4537;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;22:30;5645;143;-;42;0;675;0;105;4680;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;23:00;5748;144;-;43;0;671;0;105;4785;-;-
PACA;DonnÈes dÈfinitives;01/01/2019;23:30;6242;144;-;42;0;560;0;104;5394;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;00:00;5943;144;-;41;0;564;0;103;5092;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;00:30;5701;142;-;41;0;604;0;104;4810;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;01:00;5470;142;-;42;0;541;0;106;4640;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;01:30;5516;141;-;41;0;402;0;105;4826;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;02:00;5458;142;-;40;0;396;0;105;4775;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;02:30;5596;142;-;41;0;365;0;104;4944;-;-
PACA;DonnÈes dÈfinitives;02/01/2019;03:00;5315;142;-;41;0;355;0;106;4671;-;-
