PÈrimËtre;Nature;Date;Heures;Consommation;Thermique;NuclÈaire;Eolien;Solaire;Hydraulique;Pompage;BioÈnergies;Ech. physiques
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;00:00;3583;157;-;77;0;3;-;42;3304
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;00:30;3460;139;-;59;0;3;-;39;3221
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;01:00;3258;138;-;62;0;3;-;39;3015
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;01:30;3191;138;-;62;0;3;-;39;2949
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;02:00;3285;136;-;61;0;3;-;40;3045
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;02:30;3074;135;-;74;0;3;-;38;2823
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;03:00;2881;136;-;85;0;3;-;39;2617
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;03:30;2729;135;-;89;0;4;-;39;2463
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;04:00;2619;133;-;97;0;4;-;39;2346
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;04:30;2638;133;-;104;0;4;-;39;2359
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;05:00;2588;133;-;112;0;4;-;39;2300
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;05:30;2609;133;-;122;0;3;-;39;2311
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;06:00;2617;134;-;112;0;4;-;39;2330
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;06:30;2663;133;-;117;0;4;-;39;2371
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;07:00;2655;133;-;131;0;4;-;39;2349
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;07:30;2667;133;-;147;0;4;-;39;2344
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;08:00;2673;133;-;170;0;4;-;39;2327
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;08:30;2676;132;-;185;0;4;-;40;2316
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;09:00;2641;131;-;187;0;4;-;39;2280
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;09:30;2651;135;-;196;5;4;-;39;2272
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;10:00;2685;128;-;205;15;4;-;39;2295
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;10:30;2740;129;-;215;26;4;-;38;2328
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;11:00;2817;129;-;219;34;4;-;39;2393
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;11:30;2879;132;-;222;44;4;-;40;2438
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;12:00;2879;132;-;223;49;4;-;40;2432
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;12:30;2983;132;-;217;51;4;-;40;2539
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;13:00;3129;132;-;201;66;4;-;40;2687
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;13:30;2968;132;-;206;89;4;-;39;2498
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;14:00;2816;135;-;231;82;4;-;39;2326
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;14:30;2736;135;-;266;64;4;-;39;2228
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;15:00;2645;136;-;302;43;4;-;37;2124
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;15:30;2763;135;-;329;36;3;-;40;2220
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;16:00;2743;134;-;360;39;4;-;39;2167
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;16:30;2735;132;-;342;17;3;-;39;2200
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;17:00;2740;133;-;347;4;3;-;39;2214
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;17:30;2851;133;-;352;0;3;-;39;2324
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;18:00;3071;132;-;367;0;3;-;39;2529
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;18:30;3157;129;-;405;0;3;-;39;2581
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;19:00;3198;133;-;412;0;3;-;39;2611
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;19:30;3208;130;-;405;0;3;-;39;2630
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;20:00;3181;129;-;414;0;3;-;40;2595
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;20:30;3078;129;-;414;0;3;-;40;2492
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;21:00;2995;129;-;428;0;3;-;39;2395
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;21:30;2889;129;-;448;0;3;-;39;2270
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;22:00;2818;129;-;453;0;3;-;39;2194
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;22:30;2914;130;-;459;0;3;-;40;2282
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2016;23:00;3457;128;-;454;0;3;-;40;2833
