PÈrimËtre;Nature;Date;Heures;Consommation;Thermique;NuclÈaire;Eolien;Solaire;Hydraulique;Pompage;BioÈnergies;Ech. physiques;;
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;00:00;3704;169;-;51;0;3;-;50;3431;ND;ND
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;00:30;3645;165;0;62;0;4;-;51;3363;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;01:00;3456;172;0;61;0;4;-;51;3168;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;01:30;3419;169;0;63;0;4;-;51;3133;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;02:00;3441;169;0;55;0;4;-;51;3163;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;02:30;3246;173;0;59;0;4;-;50;2960;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;03:00;3074;173;0;66;0;4;-;50;2780;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;03:30;2947;173;0;73;0;4;-;49;2648;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;04:00;2870;173;0;77;0;4;-;48;2567;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;04:30;2802;173;0;69;0;4;-;47;2509;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;05:00;2764;173;0;68;0;4;-;46;2473;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;05:30;2789;176;0;68;0;4;-;46;2495;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;06:00;2786;175;0;67;0;4;-;45;2494;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;06:30;2872;175;0;74;0;4;-;46;2573;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;07:00;2844;175;0;82;0;4;-;45;2538;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;07:30;2874;175;0;77;0;4;-;46;2571;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;08:00;2869;174;0;76;0;4;-;46;2569;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;08:30;2871;175;0;70;0;4;-;46;2575;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;09:00;2825;172;0;62;0;4;-;46;2541;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;09:30;2830;165;0;57;0;4;-;46;2557;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;10:00;2879;167;0;53;3;4;-;46;2605;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;10:30;2945;168;0;52;8;4;-;46;2666;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;11:00;3014;163;0;55;14;4;-;47;2731;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;11:30;3055;163;0;51;19;4;-;50;2768;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;12:00;3139;164;0;47;24;4;-;50;2850;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;12:30;3248;166;0;49;28;4;-;51;2951;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;13:00;3379;169;0;55;30;4;-;51;3069;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;13:30;3261;169;0;56;31;4;-;51;2949;-;-
Pays-de-la-Loire;DonnÈes dÈfinitives;01/01/2019;14:00;3156;162;0;68;30;4;-;51;2842;-;-
